全模块合成测试账号；密码统一 123456。学生登录用一卡通号。
账号 | 密码 | 角色 | 姓名/说明 | 场景 | 首次改密
213260251 | 123456 | STUDENT | 褚文博 | 订单与购物车；学籍=ACTIVE | 否
213260252 | 123456 | STUDENT | 卫文博 | 订单与购物车；学籍=ACTIVE | 否
213260253 | 123456 | STUDENT | 蒋文博 | 订单与购物车；学籍=ACTIVE | 否
213260254 | 123456 | STUDENT | 沈文博 | 订单与购物车；学籍=ACTIVE | 否
213260255 | 123456 | STUDENT | 韩文博 | 订单与购物车；学籍=ACTIVE | 否
213260256 | 123456 | STUDENT | 杨文博 | 订单与购物车；学籍=ACTIVE | 否
213260257 | 123456 | STUDENT | 赵明轩 | 订单与购物车；学籍=ACTIVE | 否
213260258 | 123456 | STUDENT | 钱明轩 | 订单与购物车；学籍=ACTIVE | 否
213260259 | 123456 | STUDENT | 孙明轩 | 订单与购物车；学籍=ACTIVE | 否
213260260 | 123456 | STUDENT | 李明轩 | 订单与购物车；学籍=ACTIVE | 否
213260261 | 123456 | STUDENT | 周明轩 | 订单与购物车；学籍=ACTIVE | 否
213260262 | 123456 | STUDENT | 吴明轩 | 订单与购物车；学籍=ACTIVE | 否
213260263 | 123456 | STUDENT | 郑明轩 | 订单与购物车；学籍=ACTIVE | 否
213260264 | 123456 | STUDENT | 王明轩 | 订单与购物车；学籍=ACTIVE | 否
213260265 | 123456 | STUDENT | 冯明轩 | 订单与购物车；学籍=ACTIVE | 否
213260266 | 123456 | STUDENT | 陈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260267 | 123456 | STUDENT | 褚明轩 | 订单与购物车；学籍=ACTIVE | 否
213260268 | 123456 | STUDENT | 卫明轩 | 订单与购物车；学籍=ACTIVE | 否
213260269 | 123456 | STUDENT | 蒋明轩 | 订单与购物车；学籍=ACTIVE | 否
213260270 | 123456 | STUDENT | 沈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260271 | 123456 | STUDENT | 韩明轩 | 订单与购物车；学籍=ACTIVE | 否
213260272 | 123456 | STUDENT | 杨明轩 | 订单与购物车；学籍=ACTIVE | 否
213260273 | 123456 | STUDENT | 赵雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260274 | 123456 | STUDENT | 钱雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260275 | 123456 | STUDENT | 孙雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260276 | 123456 | STUDENT | 李雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260277 | 123456 | STUDENT | 周雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260278 | 123456 | STUDENT | 吴雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260279 | 123456 | STUDENT | 郑雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260280 | 123456 | STUDENT | 王雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260281 | 123456 | STUDENT | 冯雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260282 | 123456 | STUDENT | 陈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260283 | 123456 | STUDENT | 褚雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260284 | 123456 | STUDENT | 卫雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260285 | 123456 | STUDENT | 蒋雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260286 | 123456 | STUDENT | 沈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260287 | 123456 | STUDENT | 韩雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260288 | 123456 | STUDENT | 杨雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260289 | 123456 | STUDENT | 赵子涵 | 订单与购物车；学籍=ACTIVE | 否
213260290 | 123456 | STUDENT | 钱子涵 | 订单与购物车；学籍=ACTIVE | 否
213260291 | 123456 | STUDENT | 孙子涵 | 订单与购物车；学籍=ACTIVE | 否
213260292 | 123456 | STUDENT | 李子涵 | 订单与购物车；学籍=ACTIVE | 否
213260293 | 123456 | STUDENT | 周子涵 | 订单与购物车；学籍=ACTIVE | 否
213260294 | 123456 | STUDENT | 吴子涵 | 订单与购物车；学籍=ACTIVE | 否
213260295 | 123456 | STUDENT | 郑子涵 | 订单与购物车；学籍=ACTIVE | 否
213260296 | 123456 | STUDENT | 王子涵 | 订单与购物车；学籍=ACTIVE | 否
213260297 | 123456 | STUDENT | 冯子涵 | 订单与购物车；学籍=ACTIVE | 否
213260298 | 123456 | STUDENT | 陈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260299 | 123456 | STUDENT | 褚子涵 | 订单与购物车；学籍=ACTIVE | 否
213260300 | 123456 | STUDENT | 卫子涵 | 订单与购物车；学籍=ACTIVE | 否
213260301 | 123456 | STUDENT | 蒋子涵 | 订单与购物车；学籍=ACTIVE | 否
213260302 | 123456 | STUDENT | 沈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260303 | 123456 | STUDENT | 韩子涵 | 订单与购物车；学籍=ACTIVE | 否
213260304 | 123456 | STUDENT | 杨子涵 | 订单与购物车；学籍=ACTIVE | 否
213260305 | 123456 | STUDENT | 赵思远 | 订单与购物车；学籍=ACTIVE | 否
213260306 | 123456 | STUDENT | 钱思远 | 订单与购物车；学籍=ACTIVE | 否
213260307 | 123456 | STUDENT | 孙思远 | 订单与购物车；学籍=ACTIVE | 否
213260308 | 123456 | STUDENT | 李思远 | 订单与购物车；学籍=ACTIVE | 否
213260309 | 123456 | STUDENT | 周思远 | 订单与购物车；学籍=ACTIVE | 否
213260310 | 123456 | STUDENT | 吴思远 | 订单与购物车；学籍=ACTIVE | 否
213260311 | 123456 | STUDENT | 郑思远 | 订单与购物车；学籍=ACTIVE | 否
213260312 | 123456 | STUDENT | 王思远 | 订单与购物车；学籍=ACTIVE | 否
213260313 | 123456 | STUDENT | 冯思远 | 订单与购物车；学籍=ACTIVE | 否
213260314 | 123456 | STUDENT | 陈思远 | 订单与购物车；学籍=ACTIVE | 否
213260315 | 123456 | STUDENT | 褚思远 | 订单与购物车；学籍=ACTIVE | 否
213260316 | 123456 | STUDENT | 卫思远 | 订单与购物车；学籍=ACTIVE | 否
213260317 | 123456 | STUDENT | 蒋思远 | 订单与购物车；学籍=ACTIVE | 否
213260318 | 123456 | STUDENT | 沈思远 | 订单与购物车；学籍=ACTIVE | 否
213260319 | 123456 | STUDENT | 韩思远 | 订单与购物车；学籍=ACTIVE | 否
213260320 | 123456 | STUDENT | 杨思远 | 订单与购物车；学籍=ACTIVE | 否
213260321 | 123456 | STUDENT | 赵欣然 | 订单与购物车；学籍=ACTIVE | 否
213260322 | 123456 | STUDENT | 钱欣然 | 订单与购物车；学籍=ACTIVE | 否
213260323 | 123456 | STUDENT | 孙欣然 | 订单与购物车；学籍=ACTIVE | 否
213260324 | 123456 | STUDENT | 李欣然 | 订单与购物车；学籍=ACTIVE | 否
213260325 | 123456 | STUDENT | 周欣然 | 订单与购物车；学籍=ACTIVE | 否
213260326 | 123456 | STUDENT | 吴欣然 | 订单与购物车；学籍=ACTIVE | 否
213260327 | 123456 | STUDENT | 郑欣然 | 订单与购物车；学籍=ACTIVE | 否
213260328 | 123456 | STUDENT | 王欣然 | 订单与购物车；学籍=ACTIVE | 否
213260329 | 123456 | STUDENT | 冯欣然 | 订单与购物车；学籍=ACTIVE | 否
213260330 | 123456 | STUDENT | 陈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260331 | 123456 | STUDENT | 褚欣然 | 订单与购物车；学籍=ACTIVE | 否
213260332 | 123456 | STUDENT | 卫欣然 | 订单与购物车；学籍=ACTIVE | 否
213260333 | 123456 | STUDENT | 蒋欣然 | 订单与购物车；学籍=ACTIVE | 否
213260334 | 123456 | STUDENT | 沈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260335 | 123456 | STUDENT | 韩欣然 | 订单与购物车；学籍=ACTIVE | 否
213260336 | 123456 | STUDENT | 杨欣然 | 订单与购物车；学籍=ACTIVE | 否
213260337 | 123456 | STUDENT | 赵浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260338 | 123456 | STUDENT | 钱浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260339 | 123456 | STUDENT | 孙浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260340 | 123456 | STUDENT | 李浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260341 | 123456 | STUDENT | 周浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260342 | 123456 | STUDENT | 吴浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260343 | 123456 | STUDENT | 郑浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260344 | 123456 | STUDENT | 王浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260345 | 123456 | STUDENT | 冯浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260346 | 123456 | STUDENT | 陈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260347 | 123456 | STUDENT | 褚浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260348 | 123456 | STUDENT | 卫浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260349 | 123456 | STUDENT | 蒋浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260350 | 123456 | STUDENT | 沈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260351 | 123456 | STUDENT | 韩浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260352 | 123456 | STUDENT | 杨浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260353 | 123456 | STUDENT | 赵若宁 | 订单与购物车；学籍=ACTIVE | 否
213260354 | 123456 | STUDENT | 钱若宁 | 订单与购物车；学籍=ACTIVE | 否
213260355 | 123456 | STUDENT | 孙若宁 | 订单与购物车；学籍=ACTIVE | 否
213260356 | 123456 | STUDENT | 李若宁 | 订单与购物车；学籍=ACTIVE | 否
213260357 | 123456 | STUDENT | 周若宁 | 订单与购物车；学籍=ACTIVE | 否
213260358 | 123456 | STUDENT | 吴若宁 | 订单与购物车；学籍=ACTIVE | 否
213260359 | 123456 | STUDENT | 郑若宁 | 订单与购物车；学籍=ACTIVE | 否
213260360 | 123456 | STUDENT | 王若宁 | 订单与购物车；学籍=ACTIVE | 否
213260361 | 123456 | STUDENT | 冯若宁 | 订单与购物车；学籍=ACTIVE | 否
213260362 | 123456 | STUDENT | 陈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260363 | 123456 | STUDENT | 褚若宁 | 订单与购物车；学籍=ACTIVE | 否
213260364 | 123456 | STUDENT | 卫若宁 | 订单与购物车；学籍=ACTIVE | 否
213260365 | 123456 | STUDENT | 蒋若宁 | 订单与购物车；学籍=ACTIVE | 否
213260366 | 123456 | STUDENT | 沈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260367 | 123456 | STUDENT | 韩若宁 | 订单与购物车；学籍=ACTIVE | 否
213260368 | 123456 | STUDENT | 杨若宁 | 订单与购物车；学籍=ACTIVE | 否
213260369 | 123456 | STUDENT | 赵文博 | 订单与购物车；学籍=ACTIVE | 否
213260370 | 123456 | STUDENT | 钱文博 | 订单与购物车；学籍=ACTIVE | 否
213260371 | 123456 | STUDENT | 孙文博 | 订单与购物车；学籍=ACTIVE | 否
213260372 | 123456 | STUDENT | 李文博 | 订单与购物车；学籍=ACTIVE | 否
213260373 | 123456 | STUDENT | 周文博 | 订单与购物车；学籍=ACTIVE | 否
213260374 | 123456 | STUDENT | 吴文博 | 订单与购物车；学籍=ACTIVE | 否
213260375 | 123456 | STUDENT | 郑文博 | 订单与购物车；学籍=ACTIVE | 否
213260376 | 123456 | STUDENT | 王文博 | 订单与购物车；学籍=ACTIVE | 否
213260377 | 123456 | STUDENT | 冯文博 | 订单与购物车；学籍=ACTIVE | 否
213260378 | 123456 | STUDENT | 陈文博 | 订单与购物车；学籍=ACTIVE | 否
213260379 | 123456 | STUDENT | 褚文博 | 订单与购物车；学籍=ACTIVE | 否
213260380 | 123456 | STUDENT | 卫文博 | 订单与购物车；学籍=ACTIVE | 否
213260381 | 123456 | STUDENT | 蒋文博 | 订单与购物车；学籍=ACTIVE | 否
213260382 | 123456 | STUDENT | 沈文博 | 订单与购物车；学籍=ACTIVE | 否
213260383 | 123456 | STUDENT | 韩文博 | 订单与购物车；学籍=ACTIVE | 否
213260384 | 123456 | STUDENT | 杨文博 | 订单与购物车；学籍=ACTIVE | 否
213260385 | 123456 | STUDENT | 赵明轩 | 订单与购物车；学籍=ACTIVE | 否
213260386 | 123456 | STUDENT | 钱明轩 | 订单与购物车；学籍=ACTIVE | 否
213260387 | 123456 | STUDENT | 孙明轩 | 订单与购物车；学籍=ACTIVE | 否
213260388 | 123456 | STUDENT | 李明轩 | 订单与购物车；学籍=ACTIVE | 否
213260389 | 123456 | STUDENT | 周明轩 | 订单与购物车；学籍=ACTIVE | 否
213260390 | 123456 | STUDENT | 吴明轩 | 订单与购物车；学籍=ACTIVE | 否
213260391 | 123456 | STUDENT | 郑明轩 | 订单与购物车；学籍=ACTIVE | 否
213260392 | 123456 | STUDENT | 王明轩 | 订单与购物车；学籍=ACTIVE | 否
213260393 | 123456 | STUDENT | 冯明轩 | 订单与购物车；学籍=ACTIVE | 否
213260394 | 123456 | STUDENT | 陈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260395 | 123456 | STUDENT | 褚明轩 | 订单与购物车；学籍=ACTIVE | 否
213260396 | 123456 | STUDENT | 卫明轩 | 订单与购物车；学籍=ACTIVE | 否
213260397 | 123456 | STUDENT | 蒋明轩 | 订单与购物车；学籍=ACTIVE | 否
213260398 | 123456 | STUDENT | 沈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260399 | 123456 | STUDENT | 韩明轩 | 订单与购物车；学籍=ACTIVE | 否
213260400 | 123456 | STUDENT | 杨明轩 | 订单与购物车；学籍=ACTIVE | 否
213260401 | 123456 | STUDENT | 赵雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260402 | 123456 | STUDENT | 钱雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260403 | 123456 | STUDENT | 孙雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260404 | 123456 | STUDENT | 李雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260405 | 123456 | STUDENT | 周雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260406 | 123456 | STUDENT | 吴雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260407 | 123456 | STUDENT | 郑雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260408 | 123456 | STUDENT | 王雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260409 | 123456 | STUDENT | 冯雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260410 | 123456 | STUDENT | 陈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260411 | 123456 | STUDENT | 褚雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260412 | 123456 | STUDENT | 卫雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260413 | 123456 | STUDENT | 蒋雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260414 | 123456 | STUDENT | 沈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260415 | 123456 | STUDENT | 韩雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260416 | 123456 | STUDENT | 杨雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260417 | 123456 | STUDENT | 赵子涵 | 订单与购物车；学籍=ACTIVE | 否
213260418 | 123456 | STUDENT | 钱子涵 | 订单与购物车；学籍=ACTIVE | 否
213260419 | 123456 | STUDENT | 孙子涵 | 订单与购物车；学籍=ACTIVE | 否
213260420 | 123456 | STUDENT | 李子涵 | 订单与购物车；学籍=ACTIVE | 否
213260421 | 123456 | STUDENT | 周子涵 | 订单与购物车；学籍=ACTIVE | 否
213260422 | 123456 | STUDENT | 吴子涵 | 订单与购物车；学籍=ACTIVE | 否
213260423 | 123456 | STUDENT | 郑子涵 | 订单与购物车；学籍=ACTIVE | 否
213260424 | 123456 | STUDENT | 王子涵 | 订单与购物车；学籍=ACTIVE | 否
213260425 | 123456 | STUDENT | 冯子涵 | 订单与购物车；学籍=ACTIVE | 否
213260426 | 123456 | STUDENT | 陈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260427 | 123456 | STUDENT | 褚子涵 | 订单与购物车；学籍=ACTIVE | 否
213260428 | 123456 | STUDENT | 卫子涵 | 订单与购物车；学籍=ACTIVE | 否
213260429 | 123456 | STUDENT | 蒋子涵 | 订单与购物车；学籍=ACTIVE | 否
213260430 | 123456 | STUDENT | 沈子涵 | 订单与购物车；学籍=ACTIVE | 否
213260431 | 123456 | STUDENT | 韩子涵 | 订单与购物车；学籍=ACTIVE | 否
213260432 | 123456 | STUDENT | 杨子涵 | 订单与购物车；学籍=ACTIVE | 否
213260433 | 123456 | STUDENT | 赵思远 | 订单与购物车；学籍=ACTIVE | 否
213260434 | 123456 | STUDENT | 钱思远 | 订单与购物车；学籍=ACTIVE | 否
213260435 | 123456 | STUDENT | 孙思远 | 订单与购物车；学籍=ACTIVE | 否
213260436 | 123456 | STUDENT | 李思远 | 订单与购物车；学籍=ACTIVE | 否
213260437 | 123456 | STUDENT | 周思远 | 订单与购物车；学籍=ACTIVE | 否
213260438 | 123456 | STUDENT | 吴思远 | 订单与购物车；学籍=ACTIVE | 否
213260439 | 123456 | STUDENT | 郑思远 | 订单与购物车；学籍=ACTIVE | 否
213260440 | 123456 | STUDENT | 王思远 | 订单与购物车；学籍=ACTIVE | 否
213260441 | 123456 | STUDENT | 冯思远 | 订单与购物车；学籍=ACTIVE | 否
213260442 | 123456 | STUDENT | 陈思远 | 订单与购物车；学籍=ACTIVE | 否
213260443 | 123456 | STUDENT | 褚思远 | 订单与购物车；学籍=ACTIVE | 否
213260444 | 123456 | STUDENT | 卫思远 | 订单与购物车；学籍=ACTIVE | 否
213260445 | 123456 | STUDENT | 蒋思远 | 订单与购物车；学籍=ACTIVE | 否
213260446 | 123456 | STUDENT | 沈思远 | 订单与购物车；学籍=ACTIVE | 否
213260447 | 123456 | STUDENT | 韩思远 | 订单与购物车；学籍=ACTIVE | 否
213260448 | 123456 | STUDENT | 杨思远 | 订单与购物车；学籍=ACTIVE | 否
213260449 | 123456 | STUDENT | 赵欣然 | 订单与购物车；学籍=ACTIVE | 否
213260450 | 123456 | STUDENT | 钱欣然 | 订单与购物车；学籍=ACTIVE | 否
213260451 | 123456 | STUDENT | 孙欣然 | 订单与购物车；学籍=ACTIVE | 否
213260452 | 123456 | STUDENT | 李欣然 | 订单与购物车；学籍=ACTIVE | 否
213260453 | 123456 | STUDENT | 周欣然 | 订单与购物车；学籍=ACTIVE | 否
213260454 | 123456 | STUDENT | 吴欣然 | 订单与购物车；学籍=ACTIVE | 否
213260455 | 123456 | STUDENT | 郑欣然 | 订单与购物车；学籍=ACTIVE | 否
213260456 | 123456 | STUDENT | 王欣然 | 订单与购物车；学籍=ACTIVE | 否
213260457 | 123456 | STUDENT | 冯欣然 | 订单与购物车；学籍=ACTIVE | 否
213260458 | 123456 | STUDENT | 陈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260459 | 123456 | STUDENT | 褚欣然 | 订单与购物车；学籍=ACTIVE | 否
213260460 | 123456 | STUDENT | 卫欣然 | 订单与购物车；学籍=ACTIVE | 否
213260461 | 123456 | STUDENT | 蒋欣然 | 订单与购物车；学籍=ACTIVE | 否
213260462 | 123456 | STUDENT | 沈欣然 | 订单与购物车；学籍=ACTIVE | 否
213260463 | 123456 | STUDENT | 韩欣然 | 订单与购物车；学籍=ACTIVE | 否
213260464 | 123456 | STUDENT | 杨欣然 | 订单与购物车；学籍=ACTIVE | 否
213260465 | 123456 | STUDENT | 赵浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260466 | 123456 | STUDENT | 钱浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260467 | 123456 | STUDENT | 孙浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260468 | 123456 | STUDENT | 李浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260469 | 123456 | STUDENT | 周浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260470 | 123456 | STUDENT | 吴浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260471 | 123456 | STUDENT | 郑浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260472 | 123456 | STUDENT | 王浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260473 | 123456 | STUDENT | 冯浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260474 | 123456 | STUDENT | 陈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260475 | 123456 | STUDENT | 褚浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260476 | 123456 | STUDENT | 卫浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260477 | 123456 | STUDENT | 蒋浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260478 | 123456 | STUDENT | 沈浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260479 | 123456 | STUDENT | 韩浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260480 | 123456 | STUDENT | 杨浩宇 | 订单与购物车；学籍=ACTIVE | 否
213260481 | 123456 | STUDENT | 赵若宁 | 订单与购物车；学籍=ACTIVE | 否
213260482 | 123456 | STUDENT | 钱若宁 | 订单与购物车；学籍=ACTIVE | 否
213260483 | 123456 | STUDENT | 孙若宁 | 订单与购物车；学籍=ACTIVE | 否
213260484 | 123456 | STUDENT | 李若宁 | 订单与购物车；学籍=ACTIVE | 否
213260485 | 123456 | STUDENT | 周若宁 | 订单与购物车；学籍=ACTIVE | 否
213260486 | 123456 | STUDENT | 吴若宁 | 订单与购物车；学籍=ACTIVE | 否
213260487 | 123456 | STUDENT | 郑若宁 | 订单与购物车；学籍=ACTIVE | 否
213260488 | 123456 | STUDENT | 王若宁 | 订单与购物车；学籍=ACTIVE | 否
213260489 | 123456 | STUDENT | 冯若宁 | 订单与购物车；学籍=ACTIVE | 否
213260490 | 123456 | STUDENT | 陈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260491 | 123456 | STUDENT | 褚若宁 | 订单与购物车；学籍=ACTIVE | 否
213260492 | 123456 | STUDENT | 卫若宁 | 订单与购物车；学籍=ACTIVE | 否
213260493 | 123456 | STUDENT | 蒋若宁 | 订单与购物车；学籍=ACTIVE | 否
213260494 | 123456 | STUDENT | 沈若宁 | 订单与购物车；学籍=ACTIVE | 否
213260495 | 123456 | STUDENT | 韩若宁 | 订单与购物车；学籍=ACTIVE | 否
213260496 | 123456 | STUDENT | 杨若宁 | 订单与购物车；学籍=ACTIVE | 否
213260497 | 123456 | STUDENT | 赵文博 | 订单与购物车；学籍=ACTIVE | 否
213260498 | 123456 | STUDENT | 钱文博 | 订单与购物车；学籍=ACTIVE | 否
213260499 | 123456 | STUDENT | 孙文博 | 订单与购物车；学籍=ACTIVE | 否
213260500 | 123456 | STUDENT | 李文博 | 订单与购物车；学籍=ACTIVE | 否
213260501 | 123456 | STUDENT | 周文博 | 订单与购物车；学籍=ACTIVE | 否
213260502 | 123456 | STUDENT | 吴文博 | 订单与购物车；学籍=ACTIVE | 否
213260503 | 123456 | STUDENT | 郑文博 | 订单与购物车；学籍=ACTIVE | 否
213260504 | 123456 | STUDENT | 王文博 | 订单与购物车；学籍=ACTIVE | 否
213260505 | 123456 | STUDENT | 冯文博 | 订单与购物车；学籍=ACTIVE | 否
213260506 | 123456 | STUDENT | 陈文博 | 订单与购物车；学籍=ACTIVE | 否
213260507 | 123456 | STUDENT | 褚文博 | 订单与购物车；学籍=ACTIVE | 否
213260508 | 123456 | STUDENT | 卫文博 | 订单与购物车；学籍=ACTIVE | 否
213260509 | 123456 | STUDENT | 蒋文博 | 订单与购物车；学籍=ACTIVE | 否
213260510 | 123456 | STUDENT | 沈文博 | 订单与购物车；学籍=ACTIVE | 否
213260511 | 123456 | STUDENT | 韩文博 | 订单与购物车；学籍=ACTIVE | 否
213260512 | 123456 | STUDENT | 杨文博 | 订单与购物车；学籍=ACTIVE | 否
213260513 | 123456 | STUDENT | 赵明轩 | 订单与购物车；学籍=ACTIVE | 否
213260514 | 123456 | STUDENT | 钱明轩 | 订单与购物车；学籍=ACTIVE | 否
213260515 | 123456 | STUDENT | 孙明轩 | 订单与购物车；学籍=ACTIVE | 否
213260516 | 123456 | STUDENT | 李明轩 | 订单与购物车；学籍=ACTIVE | 否
213260517 | 123456 | STUDENT | 周明轩 | 订单与购物车；学籍=ACTIVE | 否
213260518 | 123456 | STUDENT | 吴明轩 | 订单与购物车；学籍=ACTIVE | 否
213260519 | 123456 | STUDENT | 郑明轩 | 订单与购物车；学籍=ACTIVE | 否
213260520 | 123456 | STUDENT | 王明轩 | 订单与购物车；学籍=ACTIVE | 否
213260521 | 123456 | STUDENT | 冯明轩 | 订单与购物车；学籍=ACTIVE | 否
213260522 | 123456 | STUDENT | 陈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260523 | 123456 | STUDENT | 褚明轩 | 订单与购物车；学籍=ACTIVE | 否
213260524 | 123456 | STUDENT | 卫明轩 | 订单与购物车；学籍=ACTIVE | 否
213260525 | 123456 | STUDENT | 蒋明轩 | 订单与购物车；学籍=ACTIVE | 否
213260526 | 123456 | STUDENT | 沈明轩 | 订单与购物车；学籍=ACTIVE | 否
213260527 | 123456 | STUDENT | 韩明轩 | 订单与购物车；学籍=ACTIVE | 否
213260528 | 123456 | STUDENT | 杨明轩 | 订单与购物车；学籍=ACTIVE | 否
213260529 | 123456 | STUDENT | 赵雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260530 | 123456 | STUDENT | 钱雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260531 | 123456 | STUDENT | 孙雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260532 | 123456 | STUDENT | 李雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260533 | 123456 | STUDENT | 周雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260534 | 123456 | STUDENT | 吴雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260535 | 123456 | STUDENT | 郑雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260536 | 123456 | STUDENT | 王雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260537 | 123456 | STUDENT | 冯雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260538 | 123456 | STUDENT | 陈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260539 | 123456 | STUDENT | 褚雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260540 | 123456 | STUDENT | 卫雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260541 | 123456 | STUDENT | 蒋雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260542 | 123456 | STUDENT | 沈雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260543 | 123456 | STUDENT | 韩雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260544 | 123456 | STUDENT | 杨雨桐 | 订单与购物车；学籍=ACTIVE | 否
213260545 | 123456 | STUDENT | 赵子涵 | 订单与购物车；学籍=ACTIVE | 否
213260546 | 123456 | STUDENT | 钱子涵 | 订单与购物车；学籍=ACTIVE | 否
213260547 | 123456 | STUDENT | 孙子涵 | 订单与购物车；学籍=ACTIVE | 否
213260548 | 123456 | STUDENT | 李子涵 | 订单与购物车；学籍=ACTIVE | 否
213260549 | 123456 | STUDENT | 周子涵 | 订单与购物车；学籍=ACTIVE | 否
213260550 | 123456 | STUDENT | 吴子涵 | 订单与购物车；学籍=ACTIVE | 否
213260551 | 123456 | STUDENT | 郑子涵 | 订单与购物车；学籍=ACTIVE | 否
213260552 | 123456 | STUDENT | 王子涵 | 订单与购物车；学籍=ACTIVE | 否
213260553 | 123456 | STUDENT | 冯子涵 | 订单与购物车；学籍=ACTIVE | 否
